,Ad Set Name,Age,Gender,Reach,Frequency,Amount Spent (USD),Impressions,"CPM (Cost per 1,000 Impressions) (USD)",Link Clicks,CPC (Cost per Link Click) (USD),CTR (Link Click-Through Rate),"Cost per 1,000 People Reached (USD)",Website Registrations Completed,Website Leads,Post Shares,Post Comments,Post Reactions,Cost per Website Registration Completed (USD),Cost per Website Lead (USD)
11,2,25-34,female,4404,1.231608,138.06,5424,25.45354,46.0,3.001304,0.848083,31.348774,3.0,10.0,6.0,0.0,26.0,46.02,13.806
12,3,25-34,male,905,1.01105,23.78,915,25.989071,9.0,2.6422220000000003,0.983607,26.276243,0.0,0.0,1.0,1.0,0.0,,
13,3,25-34,unknown,27,1.0,0.55,27,20.37037,0.0,,,20.37037,0.0,0.0,0.0,0.0,0.0,,
14,3,25-34,female,775,1.0064520000000001,28.31,780,36.294872,4.0,7.0775,0.512821,36.529032,0.0,2.0,1.0,1.0,1.0,,14.155
15,3,35-44,female,571,1.003503,23.69,573,41.343804999999996,2.0,11.845,0.34904,41.488616,0.0,0.0,2.0,0.0,0.0,,
16,3,35-44,male,478,1.006276,13.66,481,28.399168,1.0,13.66,0.2079,28.577406,0.0,0.0,2.0,0.0,1.0,,
17,3,35-44,unknown,19,1.0,0.6,19,31.578946999999996,0.0,,,31.578946999999996,0.0,0.0,0.0,0.0,0.0,,
18,4,35-44,female,11536,1.234743,442.55,14244,31.069221999999996,139.0,3.1838130000000002,0.975849,38.362517,10.0,27.0,33.0,4.0,67.0,44.255,16.390741000000002
19,4,35-44,male,6696,1.366786,183.91,9152,20.095060999999998,62.0,2.9662900000000003,0.6774479999999999,27.465651,4.0,11.0,12.0,3.0,23.0,45.9775,16.719091
20,4,25-34,unknown,504,1.2599209999999998,11.62,635,18.299213,2.0,5.81,0.314961,23.055556,0.0,0.0,0.0,0.0,1.0,,
21,4,25-34,male,11424,1.300683,259.51,14859,17.464836,114.0,2.276404,0.767212,22.716210999999998,3.0,16.0,5.0,3.0,19.0,86.503333,16.219375
